,product_id,category,color,size,season,supplier,cost_price,list_price
36,P000037,Tops,Yellow,L,Fall,supplierb,35.4,127.0
37,P000038,Accessories,Red,XL,Winter,supplierc,15.8,33.3
38,P000039,Dresses,Blue,M,Spring,supplierc,44.8,30.7
39,P000040,Shoes,Black,M,Spring,suppliera,19.6,126.9
40,P000041,Bottoms,Blue,S,Winter,supplierd,73.3,139.6
41,P000042,Dresses,Black,XL,Winter,suppliera,78.9,33.2
42,P000043,Bottoms,Blue,M,Winter,suppliera,14.6,143.0
43,P000044,Shoes,Green,M,Summer,supplierc,20.9,128.1
44,P000045,Shoes,White,M,Fall,supplierd,53.1,69.4
45,P000046,Dresses,Blue,XS,Summer,supplierc,62.1,102.8
46,P000047,Shoes,Red,XL,Summer,suppliera,57.1,110.6
47,P000048,Accessories,Black,S,Spring,supplierd,16.7,145.6
48,P000049,Shoes,Black,M,Spring,suppliera,26.2,149.2
49,P000050,Bottoms,Blue,L,Winter,supplierc,61.4,112.8
50,P000051,Bottoms,Black,XS,Fall,suppliera,18.6,131.4
51,P000052,Bottoms,Red,XL,Winter,supplierd,7.5,62.6
52,P000053,Bottoms,Green,S,Fall,supplierc,13.0,54.5
53,P000054,Accessories,White,M,Fall,supplierd,45.3,63.2
54,P000055,Tops,White,L,Summer,supplierc,73.5,79.4
55,P000056,Dresses,Black,XS,Fall,supplierc,71.0,161.3
56,P000057,Bottoms,Blue,L,Summer,supplierc,45.0,31.5
57,P000058,Shoes,Black,L,Summer,supplierb,56.9,65.3
58,P000059,Bottoms,Red,XS,Fall,suppliera,32.1,127.5
59,P000060,Shoes,Yellow,L,Summer,supplierc,77.2,32.2
60,P000061,Shoes,Blue,M,Winter,supplierb,24.4,52.8
61,P000062,Bottoms,Green,XS,Fall,supplierd,51.6,149.4
62,P000063,Accessories,Red,XL,Spring,supplierc,52.0,43.8
63,P000064,Shoes,Green,XS,Summer,supplierd,62.3,58.1
64,P000065,Shoes,Blue,S,Winter,suppliera,78.9,15.4
65,P000066,Bottoms,Green,M,Summer,supplierd,27.3,40.8
66,P000067,Shoes,Red,XL,Fall,suppliera,41.3,44.7
67,P000068,Shoes,Red,M,Winter,supplierc,75.1,104.1
68,P000069,Bottoms,Black,M,Fall,supplierb,50.5,190.8
69,P000070,Bottoms,Yellow,XS,Spring,supplierd,36.8,187.5
70,P000071,missing,Blue,XL,Fall,supplierb,52.5,14.8
71,P000072,Accessories,White,XS,Summer,supplierc,35.1,88.2
72,P000073,Accessories,Yellow,S,Spring,supplierd,56.6,175.0
73,P000074,Shoes,White,S,Spring,supplierd,54.9,107.0
74,P000075,Accessories,Green,S,Summer,suppliera,75.3,65.8
75,P000076,Shoes,White,XS,Spring,supplierb,18.3,166.0
76,P000077,Dresses,White,XS,Spring,supplierc,18.7,128.9
77,P000078,Bottoms,Red,S,Summer,supplierc,26.9,197.4
78,P000079,Bottoms,Red,XS,Winter,supplierd,61.1,166.8
79,P000080,Bottoms,Red,L,Fall,supplierd,43.2,68.0
80,P000081,Accessories,White,L,Winter,supplierc,43.6,12.4
81,P000082,Dresses,Green,L,Summer,supplierc,62.3,131.7
82,P000083,Accessories,Blue,M,Summer,supplierd,67.6,190.0
83,P000084,Accessories,Black,XL,Summer,supplierd,45.1,121.3
84,P000085,Dresses,Green,XL,Summer,supplierd,5.1,47.6
85,P000086,Dresses,Red,XL,Fall,suppliera,30.4,127.6
86,P000087,Dresses,Green,S,Winter,supplierb,17.1,138.1
87,P000088,Dresses,Blue,L,Winter,supplierb,54.4,93.9
88,P000089,Bottoms,Yellow,L,Fall,supplierb,14.2,166.4
89,P000090,Tops,Red,XS,Spring,supplierc,6.4,140.1
90,P000091,Tops,Blue,M,Summer,supplierc,42.8,82.5
91,P000092,Dresses,Yellow,M,Summer,supplierb,68.8,166.6
92,P000093,Tops,Black,L,Winter,suppliera,69.3,116.1
93,P000094,Tops,Green,XS,Spring,supplierd,62.7,91.5
94,P000095,Dresses,Black,L,Fall,suppliera,61.3,82.2
95,P000096,Tops,White,S,Winter,supplierc,74.0,73.4
96,P000097,Accessories,Green,S,Summer,supplierc,52.1,86.8
97,P000098,Shoes,Yellow,XL,Summer,suppliera,24.0,87.4
98,P000099,Shoes,White,XL,Summer,supplierb,5.7,13.6
99,P000100,Dresses,Blue,L,Summer,supplierb,13.7,24.3
100,P000101,Bottoms,White,XL,Winter,suppliera,43.0,136.9
101,P000102,Dresses,Yellow,L,Winter,supplierc,29.7,38.3
102,P000103,Bottoms,Yellow,M,Fall,supplierd,55.2,31.7
103,P000104,Shoes,Blue,S,Winter,supplierb,44.9,71.0
104,P000105,Dresses,Black,XS,Spring,suppliera,48.9,132.8
105,P000106,Accessories,Red,XS,Winter,supplierd,13.0,88.8
106,P000107,Tops,Black,M,Spring,suppliera,58.3,183.6
107,P000108,Bottoms,White,L,Summer,supplierb,68.8,29.7
108,P000109,Tops,Blue,S,Winter,supplierb,42.1,32.3
109,P000110,Tops,White,L,Summer,supplierd,22.6,78.6
110,P000111,missing,Yellow,L,Winter,suppliera,47.5,169.2
111,P000112,Tops,Red,M,Fall,supplierb,40.2,97.1
112,P000113,Accessories,Green,M,Summer,supplierc,11.1,119.0
113,P000114,Tops,Green,XL,Summer,supplierb,54.6,163.6
114,P000115,Dresses,Green,M,Summer,supplierb,56.6,117.3
115,P000116,missing,White,XL,Spring,supplierc,13.3,199.7
116,P000117,Shoes,Green,XS,Fall,supplierc,75.2,197.9
117,P000118,Tops,Blue,XL,Summer,supplierb,59.3,119.5
118,P000119,Dresses,Red,XL,Fall,suppliera,44.2,119.5
119,P000120,Shoes,Yellow,XS,Spring,suppliera,47.8,42.7
120,P000121,Shoes,Black,S,Spring,supplierb,35.2,173.5
121,P000122,Bottoms,Yellow,L,Summer,supplierc,67.4,13.1
122,P000123,Accessories,Blue,L,Winter,supplierd,49.5,53.9
123,P000124,Tops,Red,M,Summer,supplierc,17.9,72.0
124,P000125,Dresses,Black,M,Winter,supplierc,57.9,20.0
125,P000126,Bottoms,Green,S,Fall,supplierd,46.0,56.0
126,P000127,Accessories,Black,M,Summer,suppliera,47.8,192.1
127,P000128,Bottoms,White,L,Spring,supplierc,56.7,189.9
128,P000129,Accessories,White,XL,Fall,supplierd,46.6,110.8
129,P000130,Accessories,Green,XL,Winter,supplierd,5.1,189.5
130,P000131,Tops,Green,M,Fall,supplierd,14.4,137.0
131,P000132,Accessories,Blue,L,Summer,supplierc,52.1,13.6
132,P000133,Bottoms,Blue,XS,Spring,suppliera,35.4,45.7
133,P000134,Accessories,Yellow,XS,Fall,supplierc,29.7,145.9
134,P000135,Tops,White,XL,Summer,supplierb,9.2,137.6
135,P000136,Tops,Red,L,Summer,supplierb,68.5,31.0
136,P000137,Bottoms,Blue,XL,Summer,suppliera,6.1,45.0
137,P000138,Shoes,Red,L,Summer,suppliera,32.8,194.2
138,P000139,Shoes,Yellow,XS,Winter,supplierd,20.3,123.9
139,P000140,Accessories,White,M,Winter,supplierb,11.9,31.0
140,P000141,Dresses,Blue,S,Winter,supplierc,47.2,91.6
141,P000142,Accessories,Red,M,Summer,supplierb,45.0,167.4
142,P000143,Bottoms,Yellow,L,Winter,supplierb,76.7,131.9
143,P000144,Bottoms,Red,XL,Spring,supplierc,16.4,94.3
144,P000145,Bottoms,Blue,XL,Spring,supplierd,66.6,20.8
145,P000146,Bottoms,Green,XS,Fall,suppliera,63.0,87.4
146,P000147,Bottoms,Yellow,XS,Winter,supplierd,41.0,137.4
147,P000148,Tops,Yellow,M,Spring,supplierd,9.9,154.7
148,P000149,Shoes,Black,M,Spring,supplierb,13.3,171.4
149,P000150,Bottoms,Green,S,Winter,suppliera,72.6,104.3
150,P000151,Dresses,Yellow,L,Spring,supplierb,41.1,106.0
151,P000152,Dresses,Black,M,Fall,suppliera,24.1,15.0
152,P000153,Dresses,Red,M,Winter,supplierc,40.4,67.1
153,P000154,Dresses,Blue,XS,Spring,supplierc,61.7,162.2
154,P000155,Tops,Yellow,L,Summer,supplierd,66.5,51.0
155,P000156,Dresses,White,XS,Summer,supplierb,29.4,88.8
156,P000157,Bottoms,Blue,S,Spring,suppliera,11.4,111.2
157,P000158,Accessories,Green,M,Winter,supplierb,52.7,161.6
158,P000159,Dresses,Black,M,Fall,suppliera,43.0,75.7
159,P000160,Tops,Blue,M,Spring,supplierc,10.6,177.0
160,P000161,Tops,Black,XL,Fall,supplierd,65.0,160.8
161,P000162,Dresses,Green,L,Summer,supplierc,61.8,98.5
162,P000163,Accessories,Green,XS,Winter,supplierc,62.4,180.6
163,P000164,Dresses,Blue,XS,Fall,suppliera,27.3,145.1
164,P000165,Tops,Yellow,XS,Spring,supplierb,35.6,72.6
165,P000166,Shoes,White,S,Summer,suppliera,29.8,55.4
166,P000167,Bottoms,Yellow,XL,Fall,supplierc,59.2,196.2
167,P000168,Tops,White,S,Winter,supplierb,61.4,69.5
168,P000169,Dresses,Black,L,Spring,suppliera,25.2,149.8
169,P000170,Bottoms,Blue,XS,Fall,supplierc,41.4,105.0
170,P000171,Dresses,Red,XS,Spring,supplierb,11.2,44.2
171,P000172,Dresses,Green,XS,Spring,supplierd,72.8,106.6
172,P000173,Shoes,Yellow,M,Fall,supplierd,67.6,89.1
173,P000174,Bottoms,Black,M,Summer,supplierc,61.3,190.3
174,P000175,Bottoms,Green,XS,Summer,suppliera,65.1,48.1
175,P000176,Shoes,Black,XS,Summer,supplierd,48.0,54.8
176,P000177,Tops,Blue,M,Spring,supplierd,74.0,119.4
177,P000178,Dresses,Black,S,Fall,supplierb,33.4,196.4
178,P000179,Accessories,Black,XL,Fall,supplierb,53.1,179.9
179,P000180,Dresses,Red,S,Spring,supplierc,14.3,81.8
180,P000181,Dresses,Black,XL,Winter,supplierb,79.4,56.9
181,P000182,Tops,White,M,Summer,supplierd,28.5,87.1
182,P000183,Dresses,Black,XS,Fall,supplierd,78.4,132.9
183,P000184,Shoes,Black,XS,Fall,suppliera,56.2,65.9
184,P000185,Shoes,Blue,XS,Summer,supplierc,39.9,156.0
185,P000186,Bottoms,Black,S,Summer,supplierc,45.8,108.3
186,P000187,Accessories,Red,XS,Summer,supplierb,26.8,86.8
187,P000188,Dresses,Blue,XL,Summer,supplierc,46.2,133.1
188,P000189,Dresses,Green,XS,Winter,supplierd,27.0,20.1
189,P000190,Tops,White,M,Winter,suppliera,69.9,161.9
190,P000191,Shoes,White,XS,Spring,suppliera,53.5,16.8
191,P000192,Accessories,Green,S,Summer,suppliera,23.6,142.1
192,P000193,Bottoms,Black,S,Winter,supplierb,15.5,156.1
193,P000194,Shoes,Red,M,Spring,supplierc,9.0,20.4
194,P000195,Bottoms,Red,L,Summer,supplierb,25.0,18.4
195,P000196,Tops,Red,S,Winter,supplierc,58.1,157.8
196,P000197,Tops,Red,L,Summer,supplierb,28.4,76.2
197,P000198,Dresses,Black,M,Spring,supplierb,52.8,153.9
198,P000199,Accessories,Green,XS,Winter,suppliera,72.2,120.6
199,P000200,Bottoms,Green,L,Spring,supplierb,77.9,40.2
200,P000201,Shoes,White,M,Summer,supplierd,61.6,165.4
201,P000202,Tops,Green,L,Spring,suppliera,55.0,58.6
202,P000203,Dresses,Red,L,Fall,supplierd,57.9,75.6
203,P000204,Dresses,Black,XS,Summer,supplierb,15.7,55.2
204,P000205,Bottoms,Blue,S,Summer,supplierc,59.6,15.2
205,P000206,Tops,Blue,L,Spring,supplierb,38.4,147.2
206,P000207,Accessories,Red,XL,Summer,supplierc,20.7,110.0
207,P000208,Tops,Yellow,XS,Winter,supplierd,9.8,90.6
208,P000209,Bottoms,White,XL,Fall,supplierd,38.5,11.4
209,P000210,Bottoms,,XS,Summer,supplierb,18.9,100.8
210,P000211,Tops,,XS,Fall,supplierd,51.9,54.5
211,P000212,Bottoms,Red,S,Summer,supplierc,20.3,120.6
212,P000213,Tops,Black,XL,Winter,supplierb,31.7,195.4
213,P000214,Shoes,Blue,L,Winter,supplierc,62.6,148.4
214,P000215,Tops,Red,XS,Winter,supplierb,63.4,52.3
215,P000216,Tops,Blue,XL,Fall,supplierc,11.2,111.8
216,P000217,Bottoms,Black,XL,Winter,supplierd,64.7,36.7
217,P000218,Bottoms,Green,S,Summer,supplierb,63.5,87.0
218,P000219,Dresses,Green,XL,Spring,suppliera,35.1,41.4
219,P000220,Dresses,Black,L,Summer,supplierd,45.8,54.9
220,P000221,Shoes,Black,XL,Spring,supplierb,76.4,160.4
221,P000222,Dresses,Green,S,Summer,supplierc,56.1,97.0
222,P000223,Tops,Black,XS,Winter,suppliera,41.2,99.6
223,P000224,Bottoms,Black,XL,Fall,suppliera,73.8,80.2
224,P000225,Dresses,Black,XL,Fall,suppliera,44.0,80.9
225,P000226,Dresses,Green,M,Spring,supplierd,77.0,65.1
226,P000227,Shoes,Green,L,Spring,supplierd,19.1,60.5
227,P000228,Shoes,,L,Fall,supplierd,9.7,185.1
228,P000229,Tops,Blue,L,Summer,supplierc,73.4,196.7
229,P000230,missing,Green,XL,Winter,suppliera,58.3,97.4
230,P000231,Shoes,Blue,L,Fall,suppliera,49.2,96.0
231,P000232,Dresses,Green,L,Winter,suppliera,72.1,61.1
232,P000233,Bottoms,White,M,Fall,suppliera,20.2,139.0
233,P000234,Bottoms,Blue,S,Summer,supplierb,5.7,176.4
234,P000235,Dresses,Black,S,Winter,suppliera,27.8,146.4
235,P000236,Shoes,White,XS,Summer,supplierc,26.2,78.5
236,P000237,Dresses,Yellow,M,Winter,supplierc,42.6,31.4
237,P000238,Bottoms,Green,XL,Fall,suppliera,37.0,49.5
238,P000239,Accessories,Green,XS,Winter,suppliera,8.0,27.1
239,P000240,Accessories,Yellow,L,Summer,suppliera,56.8,116.3
240,P000241,Tops,White,XS,Spring,supplierc,39.4,191.0
241,P000242,Dresses,Red,S,Spring,supplierd,66.3,77.7
242,P000243,Dresses,Black,XS,Fall,supplierb,77.0,70.6
243,P000244,Tops,Blue,XS,Winter,supplierb,7.3,120.1
244,P000245,Tops,White,M,Spring,supplierc,72.0,31.0
245,P000246,Tops,Blue,L,Summer,supplierb,31.0,90.2
246,P000247,Bottoms,Green,XL,Fall,supplierb,25.7,71.6
247,P000248,Dresses,Red,XL,Winter,supplierc,69.1,149.3
248,P000249,Bottoms,Yellow,M,Winter,supplierd,38.1,152.2
249,P000250,Tops,Red,M,Summer,supplierc,60.2,145.1
250,P000251,Dresses,Blue,XL,Fall,supplierc,67.0,100.9
251,P000252,Bottoms,Yellow,XS,Summer,supplierd,40.1,172.7
252,P000253,Bottoms,Green,L,Winter,supplierb,11.9,175.8
253,P000254,Tops,Yellow,XL,Fall,supplierb,12.6,27.2
254,P000255,Dresses,Yellow,XS,Winter,supplierc,77.0,178.1
255,P000256,Tops,Red,XS,Spring,suppliera,77.6,89.6
256,P000257,Dresses,Black,S,Summer,suppliera,22.3,110.6
257,P000258,Accessories,Green,M,Summer,supplierb,13.8,22.6
258,P000259,Shoes,White,XL,Winter,supplierd,78.1,166.0
259,P000260,Shoes,White,XL,Fall,supplierc,59.1,33.6
260,P000261,Shoes,White,L,Summer,supplierb,62.6,49.2
261,P000262,Tops,Black,XL,Summer,suppliera,28.4,101.5
262,P000263,Accessories,Green,XS,Summer,suppliera,5.6,178.0
263,P000264,Dresses,Yellow,XS,Fall,suppliera,30.7,87.4
264,P000265,Bottoms,Blue,L,Winter,supplierc,18.4,129.7
265,P000266,Dresses,Blue,XS,Winter,supplierd,66.8,62.0
266,P000267,Bottoms,Green,XS,Fall,supplierc,32.8,40.6
267,P000268,Dresses,Black,XL,Winter,supplierc,70.4,60.6
268,P000269,Accessories,Green,M,Fall,suppliera,66.3,106.3
269,P000270,Bottoms,Blue,XL,Spring,supplierb,56.5,191.7
270,P000271,Tops,Green,S,Spring,supplierc,48.4,102.1
271,P000272,Dresses,White,L,Summer,suppliera,67.6,16.5
272,P000273,Dresses,Yellow,XS,Summer,supplierd,72.4,81.7
273,P000274,Bottoms,Green,XL,Fall,supplierb,74.4,88.3
274,P000275,Tops,Yellow,XL,Spring,supplierd,59.4,138.3
275,P000276,Tops,Red,XS,Summer,suppliera,53.8,183.6
276,P000277,Accessories,Green,L,Summer,supplierb,31.1,100.3
277,P000278,Tops,Blue,XL,Spring,supplierd,50.4,69.3
278,P000279,Tops,Blue,M,Spring,suppliera,67.5,146.5
279,P000280,Tops,Yellow,XS,Winter,supplierb,45.1,110.5
280,P000281,Shoes,Blue,L,Summer,supplierb,45.7,185.0
281,P000282,Accessories,White,S,Winter,supplierb,62.1,51.0
282,P000283,Dresses,Blue,XS,Winter,supplierb,50.1,71.4
283,P000284,Bottoms,Red,S,Spring,supplierc,34.3,81.1
284,P000285,Dresses,Green,XS,Summer,supplierd,36.9,105.2
285,P000286,Accessories,Black,XL,Fall,supplierb,30.0,144.9
286,P000287,Bottoms,Blue,L,Fall,suppliera,23.3,91.7
287,P000288,Accessories,Green,M,Winter,supplierd,25.0,49.0
288,P000289,Tops,White,S,Fall,suppliera,25.5,131.7
289,P000290,Bottoms,Green,S,Fall,supplierb,54.6,160.7
290,P000291,Tops,Blue,XS,Spring,suppliera,76.1,196.8
291,P000292,Dresses,Blue,S,Spring,suppliera,68.0,181.6
292,P000293,Dresses,Yellow,XS,Summer,supplierb,58.9,44.1
293,P000294,Bottoms,Blue,XS,Winter,supplierc,47.1,155.4
294,P000295,Bottoms,Red,S,Spring,supplierd,59.8,150.4
295,P000296,Accessories,Green,S,Winter,supplierb,12.3,46.7
296,P000297,Accessories,Yellow,XL,Spring,supplierd,30.2,78.2
297,P000298,Tops,Black,XL,Winter,supplierb,41.4,39.0
298,P000299,Bottoms,Red,XL,Winter,supplierc,27.5,196.2
299,P000300,Dresses,Black,L,Fall,supplierb,54.0,197.6
300,P000301,Accessories,Blue,M,Winter,supplierb,18.4,29.9
301,P000302,Accessories,Black,XL,Spring,supplierc,34.3,152.0
302,P000303,Dresses,Black,XL,Winter,supplierd,76.3,191.2
303,P000304,Accessories,Red,XS,Spring,supplierc,47.2,93.9
304,P000305,missing,Red,M,Spring,suppliera,58.4,129.7
305,P000306,Bottoms,Green,S,Fall,supplierb,31.7,124.8
306,P000307,Dresses,Black,L,Winter,supplierb,66.2,14.4
307,P000308,Bottoms,Red,S,Spring,supplierb,30.5,25.7
308,P000309,Accessories,Green,XS,Spring,suppliera,19.7,63.4
309,P000310,Accessories,Black,L,Winter,suppliera,36.2,131.4
310,P000311,Dresses,Black,XL,Winter,supplierd,22.0,114.2
311,P000312,Tops,Yellow,M,Spring,supplierc,55.9,43.0
312,P000313,Shoes,,M,Winter,supplierd,12.3,196.9
313,P000314,Dresses,Red,XL,Summer,suppliera,58.5,24.1
314,P000315,Shoes,,S,Winter,supplierc,72.8,144.6
315,P000316,Shoes,Yellow,S,Summer,supplierd,71.2,181.5
316,P000317,Tops,Red,XL,Spring,suppliera,60.4,32.6
317,P000318,Shoes,Yellow,XL,Fall,supplierb,30.8,171.8
318,P000319,Shoes,Blue,M,Spring,supplierb,78.3,162.4
319,P000320,Tops,Yellow,S,Winter,supplierb,64.0,17.2
320,P000321,Shoes,Yellow,L,Spring,suppliera,76.0,144.2
321,P000322,Shoes,Green,L,Winter,supplierd,48.0,92.5
322,P000323,Shoes,Red,XS,Summer,supplierb,67.0,61.1
323,P000324,Dresses,Black,XS,Winter,supplierd,22.8,118.9
324,P000325,Dresses,White,XS,Fall,suppliera,32.6,111.5
325,P000326,Dresses,Green,S,Fall,supplierb,54.2,161.7
326,P000327,Tops,Red,L,Winter,suppliera,9.0,130.9
327,P000328,Accessories,Green,S,Fall,supplierc,15.3,112.8
328,P000329,Shoes,Black,XL,Fall,supplierb,77.5,185.7
329,P000330,Shoes,Yellow,M,Fall,supplierb,32.6,151.0
330,P000331,Tops,White,XS,Spring,supplierd,26.1,96.2
331,P000332,Shoes,Black,XL,Winter,suppliera,43.6,89.3
332,P000333,Dresses,White,XL,Spring,supplierc,14.5,29.6
333,P000334,Accessories,Green,M,Fall,suppliera,22.0,106.7
334,P000335,Bottoms,Yellow,L,Summer,supplierc,13.6,74.2
335,P000336,Shoes,Yellow,L,Spring,supplierb,10.4,121.0
336,P000337,Dresses,Red,XL,Summer,supplierd,34.0,111.2
337,P000338,Bottoms,White,M,Winter,suppliera,41.5,194.0
338,P000339,Accessories,Black,L,Spring,supplierd,6.4,96.2
339,P000340,Bottoms,White,XS,Summer,suppliera,16.7,160.0
340,P000341,Dresses,Green,S,Fall,supplierc,57.9,137.2
341,P000342,Bottoms,Yellow,M,Spring,supplierd,46.3,105.3
342,P000343,Tops,Green,XL,Winter,supplierb,23.8,89.1
343,P000344,Bottoms,Green,S,Fall,suppliera,31.6,77.2
344,P000345,Shoes,Red,L,Summer,supplierd,16.6,114.9
345,P000346,Shoes,Green,L,Fall,supplierb,73.4,48.4
346,P000347,Tops,Red,M,Winter,supplierc,72.5,11.3
347,P000348,Dresses,Blue,S,Winter,supplierc,45.4,145.9
348,P000349,Shoes,White,L,Spring,supplierd,69.1,75.1
349,P000350,Accessories,Yellow,M,Fall,supplierd,40.8,193.3
350,P000351,Shoes,Yellow,S,Spring,supplierd,65.9,132.4
351,P000352,Shoes,Black,XL,Summer,supplierb,48.8,34.0
352,P000353,Dresses,Yellow,XL,Summer,supplierd,29.5,96.4
353,P000354,Bottoms,Red,L,Spring,suppliera,34.7,158.9
354,P000355,Shoes,Yellow,M,Winter,supplierc,10.0,118.0
355,P000356,Tops,Red,XS,Fall,supplierc,20.9,55.9
356,P000357,Bottoms,Yellow,L,Fall,supplierc,35.0,43.0
357,P000358,Accessories,Black,XS,Fall,supplierb,39.2,190.7
358,P000359,Dresses,White,S,Spring,supplierc,8.6,46.3
359,P000360,Accessories,Green,M,Winter,supplierc,41.6,81.8
360,P000361,Bottoms,White,L,Winter,supplierd,69.3,74.8
361,P000362,Bottoms,Red,XL,Spring,suppliera,16.6,177.3
362,P000363,Bottoms,Green,S,Spring,suppliera,24.6,190.4
363,P000364,Accessories,Blue,S,Spring,supplierc,65.5,158.2
364,P000365,Bottoms,Black,S,Summer,supplierb,63.2,137.3
365,P000366,Accessories,White,XS,Winter,supplierc,29.6,182.6
366,P000367,Bottoms,Green,XS,Spring,supplierb,59.7,118.6
367,P000368,Tops,Black,S,Winter,supplierb,46.1,88.4
368,P000369,Bottoms,White,L,Winter,supplierd,33.4,149.0
369,P000370,Accessories,Red,XS,Winter,supplierc,6.8,50.3
370,P000371,Shoes,Red,M,Spring,supplierb,38.6,183.3
371,P000372,Bottoms,Red,XL,Spring,supplierd,36.7,53.5
372,P000373,Shoes,Blue,L,Winter,supplierb,10.4,57.9
373,P000374,Tops,Yellow,M,Winter,suppliera,14.6,152.8
374,P000375,Dresses,Red,XS,Spring,supplierb,37.7,151.0
375,P000376,Tops,Red,XL,Fall,supplierc,6.2,77.7
376,P000377,Bottoms,Yellow,S,Winter,supplierd,74.6,150.3
377,P000378,Shoes,Red,XL,Summer,supplierb,58.4,189.2
378,P000379,Shoes,Green,S,Spring,supplierb,79.5,42.1
379,P000380,Accessories,Black,M,Spring,supplierc,20.6,151.5
380,P000381,Shoes,Blue,M,Spring,supplierc,25.9,139.0
381,P000382,Accessories,White,L,Winter,supplierc,21.3,197.4
382,P000383,Dresses,Yellow,M,Summer,supplierc,68.0,116.2
383,P000384,Bottoms,Yellow,XS,Winter,suppliera,29.5,111.9
384,P000385,Accessories,Yellow,XS,Summer,suppliera,8.3,45.8
385,P000386,Dresses,Blue,XL,Summer,supplierb,32.0,66.8
386,P000387,Shoes,Black,S,Spring,supplierc,36.9,91.5
387,P000388,Shoes,Red,XL,Fall,supplierb,34.4,74.7
388,P000389,Dresses,Yellow,L,Fall,supplierd,66.9,27.4
389,P000390,Shoes,Red,L,Fall,suppliera,76.4,176.7
390,P000391,Dresses,White,XS,Summer,supplierb,48.6,16.0
391,P000392,Accessories,Yellow,L,Winter,supplierc,50.5,87.0
392,P000393,Accessories,Blue,XS,Fall,supplierb,25.5,94.0
393,P000394,Dresses,Blue,S,Winter,supplierc,69.9,56.5
394,P000395,Accessories,,XL,Winter,supplierd,23.5,30.4
395,P000396,Accessories,Blue,L,Winter,supplierd,15.8,126.8
396,P000397,Accessories,Blue,S,Summer,supplierc,60.2,98.9
397,P000398,Tops,Blue,L,Winter,supplierb,60.6,68.6
398,P000399,Bottoms,Yellow,M,Fall,suppliera,57.2,198.4
399,P000400,Shoes,White,L,Fall,supplierc,60.2,154.5
400,P000401,Tops,Yellow,S,Spring,supplierb,66.1,194.1
401,P000402,Accessories,White,L,Spring,supplierc,72.3,125.6
402,P000403,Dresses,Black,M,Fall,supplierc,7.5,132.0
403,P000404,Accessories,Blue,L,Spring,supplierc,54.0,110.6
404,P000405,Bottoms,Black,S,Spring,suppliera,27.1,184.1
405,P000406,Accessories,Green,XS,Spring,supplierd,48.6,61.1
406,P000407,Dresses,Green,S,Spring,supplierb,69.4,170.6
407,P000408,Bottoms,Blue,XS,Winter,suppliera,60.2,78.3
408,P000409,Accessories,Red,XS,Fall,suppliera,19.6,191.5
409,P000410,Bottoms,Green,XL,Spring,supplierb,48.0,44.8
410,P000411,Shoes,Red,S,Spring,supplierc,17.8,109.6
411,P000412,Shoes,Black,XL,Spring,supplierd,23.4,124.7
412,P000413,Accessories,Blue,XS,Summer,supplierc,35.2,136.2
