,Student_ID,Subject,Assignment_Name,Due_Date,Status,Grade_Feedback,Guardian_Signature
71,S10168,Arabic,Mention prepare.,2024-09-27, ✔ ,B,Yes
72,S06215,Arabic,Side service difficult.,2025-01-25,❌,C, 
73,S06511,Geography,Reality create.,2025-01-24,❌,B-, 
74,S06224,History,Tough out.,10/03/2024,❌,B-,Yes
75,S02532,Science,Set capital.,2025-01-31,✔,D,No
76,S04520,Science,Tonight attention.,2024-10-15,❌,C-,No
77,S00087,Geography,Their clear team.,2025-01-28,pending,C,No
78,S05770,Science,What generation current.,2025-02-21,pending,D, 
79,S09016,Arabic,Floor woman.,2024-11-26, ✔ ,B-, 
80,S12111,Arabic,Relate.,01/23/2025,❌,C-, 
81,S11555,Math,Feel may speak.,2024-09-20, ✔ ,B,No
82,S02282,Geography,Agent child.,2024-11-18,✔,D, 
83,S01153,History,Thousand hour.,09/29/2024,✔,B,Yes
84,S01856,Arabic,Leave popular.,09/13/2024,✔,C,No
85,S06708,Science,Project everybody fly.,2025-03-03,✔,C-,No
86,S01043,Arabic,Apply rule present.,2025-01-23,❌,A,Yes
87,S09501,History,Administration race.,2024-12-25,❌,A,Yes
88,S09150,Math,Start make.,10/19/2024, ✔ ,A+, 
89,S00985,English,Sound serve.,2024-12-02,✔,C-,Yes
90,S04485,Geography,Report.,2025-02-26,pending,C-,Yes
91,S05960,Science,Owner national.,2024-11-23,❌,C-,No
92,S00219,History,Various glass.,2024-10-27,❌,A+,No
93,S10285,Science,Between plant.,2024-11-27,❌,D, 
94,S07872,English,Soon when less this.,2024-12-25, ✔ ,C-, 
95,S03670,Math,Continue.,2024-10-24,✔,C-,No
96,S02486,Math,High.,2025-02-18,❌,A+, 
97,S06554,English,Its center machine.,2024-09-28,✔,B-,No
98,S01349,Arabic,Between.,2025-01-20,❌,F,No
99,S06486,Science,Say current provide.,2024-12-12,pending,D,No
100,S00601,Geography,Choice coach.,12/23/2024,❌,B,Yes
101,S00330,English,Start single.,10/23/2024,✔,C, 
102,S03120,Math,Much current class any.,2025-02-01,pending,C-, 
103,S10266,Science,Task situation.,2025-01-31,✔,C, 
104,S10471,Science,Responsibility century.,2024-09-23,❌,F, 
105,S08021,Math,Medical charge.,2024-12-09, ✔ ,D, 
106,S07736,English,War sister.,2024-09-22,✔,B, 
107,S07659,Science,Of environment.,2025-01-19,✔,A+,Yes
108,S09863,History,Wall around popular.,2024-09-17, ✔ ,A+, 
109,S07273,English,So.,2025-02-06,✔,A+, 
110,S10920,Science,South least.,09/15/2024,❌,C,No
111,S05796,English,Because north administration.,2024-11-23,❌,B-,Yes
112,S06259,English,Attack turn.,2024-09-22, ✔ ,D,No
113,S05122,Geography,Culture may remember.,2025-01-04,❌,A,No
114,S10172,Arabic,Standard.,2025-01-25, ✔ ,A,Yes
115,S03138,History,Guess direction.,2024-12-25,pending,D,Yes
116,S07726,Math,May if.,2024-11-23, ✔ ,C-,Yes
117,S06642,Math,Nation establish.,2024-10-16,pending,A,Yes
118,S05811,Geography,Finally question rate.,11/29/2024,✔,B,No
119,S06638,Arabic,Air two.,02/09/2025,❌,C-, 
120,S06909,Math,Have skin.,2024-12-31,❌,B-,Yes
121,S10341,English,Writer teach follow.,2025-01-13, ✔ ,A+, 
122,S09572,History,From plan something.,2025-03-01,✔,B,Yes
123,S05178,History,Past sing.,2024-09-20,✔,A+,No
124,S09258,Geography,Law carry stage.,02/06/2025, ✔ ,D,No
125,S09268,Math,Religious student hot.,2024-09-29,✔,C,No
126,S03447,Science,Pick police and.,2024-10-25,pending,A,No
127,S01530,Math,Through wear.,11/19/2024, ✔ ,A+,Yes
128,S07544,Math,Be memory TV.,2024-09-11,❌,C,No
129,S06996,Math,Significant expect.,2024-11-09,pending,A+,Yes
130,S06032,Arabic,Low another western.,2024-12-15,✔,A+, 
131,S03303,English,Fill they we.,02/22/2025,pending,A,No
132,S03099,Science,Health top.,2024-12-05,pending,D, 
133,S07216,Math,Shoulder exist network.,2024-12-18,pending,A+, 
134,S04062,Math,Event he thousand alone.,2025-03-03, ✔ ,D, 
135,S07816,Science,Join close.,2024-10-22,❌,A,Yes
136,S09683,Arabic,Knowledge become.,02/06/2025,✔,B,No
137,S04470,English,Lay maybe.,12/05/2024,❌,D, 
138,S02370,Math,Call manage difference seem.,2025-02-24,✔,A, 
139,S08804,Geography,Reduce region hold.,2025-02-07,pending,D,Yes
140,S02581,History,Section sing.,2024-12-25,pending,C-,Yes
141,S06156,Geography,Per hour.,2025-02-06,✔,B-,Yes
142,S06549,Science,Member without.,10/31/2024,❌,B, 
143,S09864,Arabic,Safe state.,2024-11-29,❌,D, 
144,S09007,Geography,Movement task.,2024-09-14,pending,C-, 
145,S08276,Geography,Position hotel politics.,2024-12-31,❌,B-, 
146,S07650,English,Return national.,2024-12-01,pending,C,No
147,S08249,Geography,Pick rule source point.,2025-02-05,❌,B-, 
148,S06365,Geography,Clear writer skin.,2025-02-14,pending,F,No
149,S09777,Math,History rate.,2024-12-20,❌,C-,Yes
150,S03956,Science,Control.,10/02/2024,❌,F,No
151,S01771,History,Either interview.,11/29/2024,pending,C,Yes
152,S06247,Science,Environment beyond production early.,2024-12-21,✔,F, 
153,S10620,History,Exactly away yard.,2025-01-14,✔,D,Yes
154,S05935,Geography,Similar.,2025-01-18, ✔ ,A,Yes
155,S06837,Science,Significant purpose draw.,2024-11-25,✔,A, 
156,S09908,History,Necessary worker population.,2024-10-28,❌,D,Yes
157,S07199,Science,Smile time mother.,2025-02-23,❌,B,No
158,S07449,Math,Agency guy.,2024-11-11,✔,B-,Yes
159,S02318,Math,Difficult stand article deep.,2024-12-08,❌,C,Yes
160,S04706,Geography,Teach open.,2024-11-14,pending,F,Yes
161,S07726,Arabic,Exist next whom.,2025-02-01,✔,B, 
162,S08593,Science,Design their happy treatment.,2025-02-24,✔,B,No
163,S06267,Geography,Office.,2024-11-10,pending,B-,No
164,S03757,Math,Ok each.,10/08/2024,❌,D, 
165,S03985,English,Green somebody.,2025-02-27,❌,B-,Yes
166,S04322,Arabic,Century public.,2025-02-16,pending,B-,Yes
167,S01487,Math,Measure their piece.,2024-10-31,❌,A,No
168,S07854,Geography,Late many eight.,2025-01-05,✔,D,No
169,S06182,Arabic,Wall spring tend.,01/23/2025,❌,C, 
170,S01367,English,Along spring.,2025-02-22,✔,C, 
171,S01302,English,Rule personal short.,2024-09-16,✔,A+,Yes
172,S07532,History,Challenge operation husband.,2024-11-16,❌,B,Yes
173,S11652,Geography,Create public especially.,2025-01-10,❌,F,No
174,S07760,English,List agreement.,2025-01-20,✔,C,No
175,S07351,Geography,Language position skin.,2024-09-23,❌,A, 
176,S04812,English,Who first.,2025-03-06, ✔ ,A,No
177,S05768,Geography,Body relate international.,2025-02-07,❌,B-,No
178,S08813,Math,Door foreign each military.,2024-09-28,pending,B,Yes
179,S00156,English,Now local carry.,2024-11-18,✔,A, 
180,S11510,Arabic,Play heart admit guess.,12/11/2024,❌,C,Yes
181,S08528,History,Tv.,2025-03-01,❌,B,No
182,S06671,History,Nation deep.,2024-12-16,✔,C-,No
183,S09013,Arabic,Right image.,2024-09-20,pending,C,No
184,S11993,Math,Mouth account.,2024-10-08,pending,A+, 
185,S04264,Geography,Energy believe happy.,2024-09-16,❌,A,No
186,S02414,Math,Not create.,12/30/2024,pending,B,Yes
187,S06115,Science,Sister themselves.,2024-09-21,❌,D, 
188,S04064,English,Type somebody different.,2025-03-09,✔,F, 
189,S00753,History,There fill.,01/17/2025, ✔ ,A,Yes
190,S02102,English,According animal much.,2025-01-17,❌,A, 
191,S08949,Math,Buy likely.,2025-01-20, ✔ ,B,No
192,S00765,Arabic,Leg one.,10/24/2024,❌,A+, 
193,S02434,Science,Avoid town thought.,2024-09-23, ✔ ,C,Yes
194,S07862,Math,Economic quality.,02/05/2025, ✔ ,B,No
195,S10130,English,Kitchen perhaps focus.,2024-11-21,pending,D, 
196,S00888,Science,Safe lay.,2024-10-26,❌,C,No
197,S02863,Science,Ahead response cup season.,2024-11-08,✔,C,No
198,S01326,Science,In all group.,2025-01-14, ✔ ,B-,Yes
199,S05779,English,Able meet recently save.,2024-12-04, ✔ ,A,No
200,S02711,Geography,Available response.,2024-10-25,pending,B-, 
201,S03060,Math,Subject responsibility.,2025-02-28, ✔ ,F, 
202,S08179,English,Make reveal.,2024-12-27,pending,F,Yes
203,S02041,English,Term.,2025-01-27,pending,C-,No
204,S01984,Science,Present soldier fight.,2024-12-10,✔,F,Yes
205,S10239,Arabic,Large I.,2024-10-25, ✔ ,B-,No
206,S05405,Arabic,From entire role.,2024-11-02,✔,C-,Yes
207,S06014,Math,Section.,2024-11-21, ✔ ,C-,Yes
208,S03735,Science,Future back.,2025-01-21,✔,A,No
209,S10593,English,Anyone girl ago.,01/18/2025,pending,C,No
210,S07950,Arabic,So condition firm.,2024-12-28, ✔ ,A+,Yes
211,S11259,Geography,Only more.,2024-12-10,✔,C, 
212,S04675,Science,Past civil four.,2025-02-01,❌,A,No
213,S03885,English,Likely go.,2024-09-14,✔,A,No
214,S01911,Math,Writer expect.,2025-03-06,✔,A+, 
215,S07387,English,Quite save.,2025-01-14,✔,C, 
216,S01460,Math,Certain.,2024-09-08, ✔ ,C,Yes
217,S07904,History,Human weight.,10/17/2024, ✔ ,D, 
218,S11262,Geography,Quite skin seek.,2025-01-22,❌,B, 
219,S01350,English,Month address once.,2025-03-09,❌,B, 
220,S03489,Arabic,Herself institution a.,2024-10-23,❌,C,Yes
221,S00679,Arabic,Find.,12/15/2024, ✔ ,A+,Yes
222,S05429,Science,Produce free.,2024-09-10, ✔ ,C, 
223,S04644,History,Almost important.,2024-12-07,pending,A,No
224,S02262,History,Carry series.,2024-12-11,✔,B,No
225,S01037,Science,Tv send.,2024-10-27,❌,C, 
226,S10538,History,White stage.,2024-11-03,❌,C,No
227,S06412,Geography,Difference job heart.,2024-12-16,pending,A,Yes
228,S01837,Math,Process budget.,2024-10-05,pending,B,No
229,S09870,Arabic,Try subject.,2025-02-06,❌,B, 
230,S03368,English,Military under.,2024-09-27, ✔ ,D,No
231,S05853,English,Anything attention.,09/26/2024,✔,F,No
232,S09113,Math,Director care black.,2025-01-28,✔,B-,Yes
233,S02874,Geography,Effort what fill letter.,2025-02-10,❌,D,No
234,S06709,Science,Clear loss own.,2025-02-13,✔,B-,No
235,S07486,Arabic,Job civil pressure.,2025-02-08,❌,C, 
236,S07232,Arabic,High serve.,10/11/2024,❌,B,No
237,S02407,Geography,Develop term.,2024-10-18,❌,F,Yes
238,S01186,Geography,Style subject.,11/07/2024, ✔ ,C,Yes
239,S11119,History,Join yeah statement.,2024-11-20,✔,A+, 
240,S05761,Arabic,Claim budget.,2024-09-29,✔,B-, 
241,S11449,Science,Respond keep church.,2025-01-21,✔,A+,Yes
242,S06760,English,Produce provide former discover.,2024-12-18,✔,B,Yes
243,S01039,Math,Writer land.,2025-02-10,✔,F,No
244,S02745,Math,Forget police.,2025-01-28,❌,B-, 
245,S04016,Arabic,Sea deal sea.,2024-12-04, ✔ ,D,Yes
246,S08929,Science,Make prove spend compare.,2025-03-07,✔,C-, 
247,S01108,Science,Tend reason authority.,2025-01-19,✔,F, 
248,S00706,Arabic,Operation expect.,2024-12-02,✔,B-,No
249,S09524,Arabic,Lawyer social economic.,2024-11-06,❌,F,No
250,S02886,History,Hospital two.,2024-11-27, ✔ ,D,Yes
251,S08413,Science,Receive window.,2024-09-10,✔,C-, 
252,S00531,Math,Fill fact challenge.,2024-12-19,❌,F,Yes
253,S00869,Geography,Sing worry share.,2024-11-17,pending,B-, 
254,S03223,Science,Occur.,09/17/2024,✔,A+, 
255,S10609,Math,Top born center.,2025-03-07, ✔ ,C-, 
256,S00736,Geography,Thousand key.,2025-01-20,❌,F, 
257,S10599,Geography,Fall tonight.,12/08/2024, ✔ ,F, 
258,S05773,History,Career professional.,2024-12-30,❌,A+,No
259,S03079,Science,After whom.,2024-09-17,❌,A+,No
260,S06460,Arabic,She cut.,2024-11-06,✔,B,No
261,S02286,English,Building role woman.,2024-10-23,✔,F,Yes
262,S03558,Geography,Both though involve.,2025-02-15,❌,B, 
263,S04555,English,Skill certainly task.,2025-01-31, ✔ ,A, 
264,S05138,History,Certainly world perhaps.,2025-01-20,❌,C-,No
265,S09536,English,His long stay action.,02/02/2025,✔,D, 
266,S04734,English,Smile seven.,2024-11-26,✔,F,Yes
267,S09624,History,Mrs ever fight.,2025-02-23, ✔ ,D,No
268,S08816,History,Accept need.,2025-02-21,❌,C,Yes
269,S08185,Science,Service so.,2024-09-28,✔,B, 
270,S09909,English,Reality coach still.,2024-11-24,❌,C,No
271,S11466,Science,Number.,2025-03-08,✔,B-,No
272,S07383,Math,To point mouth.,01/21/2025,❌,C,No
273,S07304,Math,Girl pressure.,2025-02-10,✔,A+,No
274,S08104,English,Brother rest paper.,2025-01-04,❌,B-, 
275,S02836,English,Democrat none.,2024-10-07,pending,B,Yes
276,S01046,Arabic,Director theory new.,10/06/2024,✔,B, 
277,S00290,Arabic,Offer back race.,2024-10-06,✔,C-,No
278,S06630,English,Manage authority style.,2024-09-22,❌,A, 
279,S03709,Science,Decade pick fact.,2024-12-28,✔,A+,Yes
280,S01601,Math,Third green central.,2024-11-01,✔,A, 
281,S01995,English,Without table.,12/02/2024,✔,B,No
282,S11484,Math,Fill little walk.,2024-09-17, ✔ ,C, 
283,S03838,Arabic,Its home mother note.,11/21/2024,✔,D,Yes
284,S08815,English,Air keep.,2024-11-06,pending,B,Yes
285,S11615,History,Mind modern animal.,2025-01-08,✔,F, 
286,S03231,History,Firm appear firm.,2025-02-18,❌,C-, 
287,S10173,English,Usually science.,2025-01-20,pending,A+,No
288,S04939,English,Degree large.,2025-01-02,✔,B,Yes
289,S09977,Geography,Project.,2025-01-24,✔,C-,Yes
290,S00986,English,Building me.,2025-03-03, ✔ ,B-,No
291,S01547,Arabic,Note carry produce.,2024-11-24,✔,D,Yes
292,S05251,Science,Assume early hold student.,2024-11-10,❌,A+,No
293,S09656,Geography,Common market.,2025-01-04,❌,A+, 
294,S06108,Science,Forward up.,2025-01-01,❌,A,Yes
295,S08033,Arabic,Such fact home.,2024-12-23,❌,A+,Yes
296,S11599,English,Itself rock.,2024-12-12,✔,B,No
297,S07747,English,Marriage ask because market.,12/12/2024,❌,C,No
298,S11191,Geography,Power across.,2024-10-12,✔,B-,No
299,S00712,English,Fact coach week.,2024-10-11,pending,C-, 
300,S00230,Math,Glass coach.,2025-01-30,pending,F,No
301,S11118,English,Understand feel thus.,2025-03-04,pending,F, 
302,S03281,English,Wife visit of.,12/28/2024,✔,A+,No
303,S02697,History,Herself community.,2025-03-09,❌,A,No
304,S05796,Math,See decide so.,2025-01-26,pending,A+,No
305,S06682,Geography,Travel list.,2024-10-16,✔,D,Yes
306,S10857,Science,Show single part.,2024-09-15,❌,A, 
307,S03736,History,Miss.,2025-01-30,✔,D,No
308,S08762,Arabic,Herself option agree mother.,2024-12-13,❌,C,No
309,S02699,Math,Answer send.,2024-09-25,✔,A+,Yes
310,S11689,Science,Cut entire wear.,2024-11-29,❌,B, 
311,S00930,Arabic,Single same far mission.,2024-09-16, ✔ ,C,No
312,S05750,Geography,Future impact really.,2024-12-29,✔,A+,No
313,S08725,Science,Way officer.,2025-01-06,pending,B,Yes
314,S05506,English,Show represent own.,2024-11-18,pending,C-,No
315,S08009,Arabic,Million miss.,2024-11-19,❌,F,Yes
316,S09409,Arabic,Meet marriage us.,2024-12-09,✔,D,No
317,S05536,History,Good true near war.,2024-10-10, ✔ ,B-,No
318,S10522,Geography,Can idea.,01/31/2025, ✔ ,B, 
319,S00952,History,Them also author.,2024-12-24,❌,B-, 
320,S09145,Science,Force fact.,2024-10-13,✔,A+,Yes
321,S00171,History,Attorney century.,2025-02-27,pending,C,Yes
322,S01193,Arabic,Free over rule.,12/26/2024,❌,B, 
323,S11567,Geography,When carry.,2025-02-19,❌,B-,Yes
324,S07583,Science,Teach stand food.,2025-01-16,✔,A, 
325,S02886,English,Member our.,2025-01-18,✔,A, 
326,S00547,Science,Response out.,2024-12-04,pending,B,No
327,S08280,Arabic,Guess common huge.,2024-12-02,pending,A, 
328,S01820,Science,Until them.,2025-01-11,pending,C-,No
329,S08205,Geography,Brother husband.,2024-10-05, ✔ ,A+, 
330,S09061,Math,Say window.,2025-02-14,❌,B-, 
331,S03487,Math,Cold certain adult.,2024-11-12,✔,A+,Yes
332,S10199,Science,History player pick.,2024-11-18, ✔ ,D,Yes
333,S04175,History,Yes use begin.,09/08/2024,pending,B,No
334,S02003,English,Statement happen summer.,2024-10-14,✔,C,No
335,S07791,History,Whom assume television.,11/28/2024, ✔ ,A+, 
336,S01262,Arabic,Help good.,2024-11-17,✔,B, 
337,S11158,Geography,Piece traditional.,2025-02-07, ✔ ,A+,No
338,S04532,Science,Family Congress easy.,02/23/2025,❌,B-,No
339,S07445,Math,Win for.,2025-02-26,✔,A+,Yes
340,S05831,Arabic,Little foreign front.,2025-03-06, ✔ ,B-,No
341,S11181,Arabic,Fall region.,2025-02-16,✔,A+,No
342,S03361,Science,At into.,2024-11-02,❌,D,Yes
343,S04271,English,Speak ability central.,2025-02-02, ✔ ,A+,No
344,S03861,History,Record.,03/06/2025, ✔ ,A, 
345,S10597,Geography,Expect join himself on.,10/11/2024,❌,B, 
346,S09878,Arabic,Any.,2025-01-16,❌,A+,Yes
347,S12020,History,Charge least.,2024-12-23,❌,B-, 
348,S08175,History,Realize total.,2024-12-02, ✔ ,A+,Yes
349,S09125,History,Behind near.,2025-01-13,❌,F, 
350,S06591,Science,Resource tax their.,2024-10-05,pending,A+, 
351,S03229,History,Truth face black.,2024-11-29,✔,C-, 
352,S09165,History,Decision move.,11/21/2024,pending,C-,Yes
353,S09959,Geography,Nearly very home.,2025-01-05,✔,D,Yes
354,S09318,Science,Term scientist serious.,09/11/2024,❌,C-,Yes
355,S10300,Arabic,Stuff.,2024-12-31,❌,C-,Yes
356,S10231,History,Word stage seat.,02/24/2025,❌,B,Yes
357,S10308,Math,Field safe former debate.,2024-10-19,❌,B,No
358,S11308,English,Field degree.,2024-12-01,❌,F, 
359,S05018,Arabic,Air fact general.,02/24/2025,pending,B,No
360,S11166,Science,And call.,2024-11-15,pending,B-, 
361,S00812,Arabic,Surface.,2025-01-01,pending,B,No
362,S11170,Geography,Put kitchen.,2025-01-05,✔,B-,Yes
363,S00903,Math,Area role.,2025-01-05,❌,A+,Yes
364,S07346,Science,Who hit down.,2024-09-19,✔,D,No
365,S04362,Science,Or player.,10/14/2024,❌,A+,No
366,S07240,Science,Member head never.,2024-12-15,❌,A+,No
367,S02967,Science,Price win present.,2024-09-08, ✔ ,D, 
368,S02428,Geography,Case.,10/18/2024,✔,C-,Yes
369,S06324,English,Nation report.,2024-10-25,❌,B,Yes
370,S02510,Geography,Rise me finish.,2024-10-24,pending,B-, 
371,S00564,Arabic,Discuss admit.,2024-12-12,❌,A,Yes
372,S00222,English,Interest top.,2024-11-08, ✔ ,A,Yes
373,S05117,Geography,Heart political ahead.,2025-01-20, ✔ ,C,Yes
374,S03206,Science,Stock reason.,2025-01-30,✔,D, 
375,S04894,Science,Bad discuss.,02/22/2025,✔,C, 
376,S02576,Science,Able Mrs model.,2025-01-08,✔,A+,Yes
377,S09085,Geography,Protect house anything others.,2025-01-30,✔,A+,No
378,S02153,Science,Behavior similar show light.,2024-12-14,❌,B-,No
379,S03294,Geography,Decision group gas.,2025-01-10, ✔ ,B-,Yes
380,S11200,Arabic,Science.,2024-12-15,✔,F, 
381,S04048,Arabic,Less car decide.,10/13/2024,❌,C,Yes
382,S11698,Math,Oil enter.,2024-11-04, ✔ ,A+, 
383,S10587,History,Play above.,10/19/2024,❌,B-,No
384,S06793,English,Also three skill.,2024-09-20, ✔ ,F,No
385,S06351,English,Various do team.,2024-10-16,pending,D, 
386,S03902,Science,Newspaper old.,2025-01-05,❌,F,No
387,S02779,History,Entire TV.,2025-02-26,✔,B-,Yes
388,S09816,History,Others quickly.,2025-02-20,✔,F, 
389,S10873,Science,Hair offer brother.,2025-01-18,❌,D, 
390,S05449,Math,Door.,10/26/2024,✔,B, 
391,S10018,Arabic,All meet.,2024-12-10,✔,B-,Yes
392,S07481,English,Affect.,2025-02-15,✔,D, 
393,S04581,Arabic,Live success.,2024-09-26,✔,A+, 
394,S02238,Geography,Rise medical structure.,2024-12-10,✔,D, 
395,S09131,Math,Music hope.,2024-12-18,✔,C-, 
396,S00072,Geography,Shake throughout.,11/09/2024, ✔ ,C, 
397,S09293,English,Case plant.,2024-09-08, ✔ ,B,No
398,S11057,English,Office young bank whom.,12/20/2024,✔,C,Yes
399,S05299,Geography,Particular knowledge already.,02/27/2025,✔,D,Yes
400,S02727,Math,Send day without.,2024-11-14, ✔ ,B,Yes
401,S10432,History,Two fine.,02/07/2025,✔,A+, 
402,S07178,History,Name mission reach night.,2024-10-25, ✔ ,D, 
403,S04260,Geography,Market much.,2024-09-15,❌,C,No
404,S07751,English,Watch late reveal mouth.,2024-10-17,✔,A,No
405,S07686,History,Five most.,2024-12-12, ✔ ,A, 
406,S05883,Math,Window daughter.,12/14/2024,✔,B-,No
407,S08558,Science,Quite determine.,2025-02-09,✔,C,No
408,S07397,Arabic,Really house.,2024-11-30,❌,F,No
409,S06471,Arabic,Good along.,2025-02-21,❌,D, 
410,S08852,Geography,Myself move.,2024-09-15,❌,C-,No
411,S10263,Math,Staff now grow.,11/25/2024,❌,A, 
412,S05730,Math,Put woman.,12/02/2024,✔,C,Yes
413,S02221,Geography,Country learn.,2024-11-03, ✔ ,F,No
414,S09452,Science,Cell.,2024-12-31,✔,F,Yes
415,S06760,Arabic,Federal.,02/20/2025,✔,B-,Yes
416,S11354,English,Decide century almost.,2025-01-24,✔,F,Yes
417,S08695,Geography,Cut include couple.,2025-01-24,✔,C,Yes
418,S05931,History,Already school.,2025-01-16,pending,C-, 
419,S07480,History,To around.,12/25/2024,✔,A,No
420,S03783,Arabic,Themselves over national.,2024-10-23,✔,A,Yes
421,S01869,Geography,Wind everyone.,2025-01-22,❌,C-, 
422,S04403,Math,Focus figure.,2024-10-11, ✔ ,F, 
423,S10265,Math,Drive every.,2024-12-24,✔,A+,No
424,S10676,Geography,Perform woman seat.,2024-12-02,pending,B-,No
425,S02931,English,Ball board.,01/10/2025, ✔ ,D, 
426,S01616,Math,While share impact.,2024-10-01,✔,C,No
427,S11761,English,On beyond.,2024-12-24,❌,C-,Yes
428,S01338,History,Wife real matter.,2025-01-22, ✔ ,B-,Yes
429,S05220,Arabic,Resource nation soldier.,2025-02-15,❌,A+,Yes
430,S01949,Geography,Produce physical.,2024-09-13,❌,F,Yes
431,S02936,Science,Million site.,2024-10-17, ✔ ,B-, 
432,S04678,History,Week during.,2024-12-02,❌,F,Yes
433,S02485,Geography,Coach you treat white.,2025-02-09,✔,B,Yes
434,S04696,Geography,Option common.,2025-01-01,✔,A, 
435,S10441,Science,Carry same law.,2024-09-24,❌,A+,Yes
436,S06494,History,Four eat image.,2025-02-09,❌,B,Yes
437,S06169,Science,Car indicate.,2025-02-26,pending,C,Yes
438,S01730,Arabic,Project fall.,2025-02-06,✔,A,Yes
